Title,Abstract,Authors,Last Author,Published Date
"High Spectral Spatial Resolution Synthetic HyperSpectral Dataset form
  multi-source fusion","  This research paper introduces a synthetic hyperspectral dataset that
combines high spectral and spatial resolution imaging to achieve a
comprehensive, accurate, and detailed representation of observed scenes or
objects. Obtaining such desirable qualities is challenging when relying on a
single camera. The proposed dataset addresses this limitation by leveraging
three modalities: RGB, push-broom visible hyperspectral camera, and snapshot
infrared hyperspectral camera, each offering distinct spatial and spectral
resolutions. Different camera systems exhibit varying photometric properties,
resulting in a trade-off between spatial and spectral resolution. RGB cameras
typically offer high spatial resolution but limited spectral resolution, while
hyperspectral cameras possess high spectral resolution at the expense of
spatial resolution. Moreover, hyperspectral cameras themselves employ different
capturing techniques and spectral ranges, further complicating the acquisition
of comprehensive data. By integrating the photometric properties of these
modalities, a single synthetic hyperspectral image can be generated,
facilitating the exploration of broader spectral-spatial relationships for
improved analysis, monitoring, and decision-making across various fields. This
paper emphasizes the importance of multi-modal fusion in producing a
high-quality synthetic hyperspectral dataset with consistent spectral intervals
between bands.
","Yajie Sun, Ali Zia, Jun Zhou",Jun Zhou,2023-06-25T11:17:12Z
Unmixing of Hyperspectral Data Using Robust Statistics-based NMF,"  Mixed pixels are presented in hyperspectral images due to low spatial
resolution of hyperspectral sensors. Spectral unmixing decomposes mixed pixels
spectra into endmembers spectra and abundance fractions. In this paper using of
robust statistics-based nonnegative matrix factorization (RNMF) for spectral
unmixing of hyperspectral data is investigated. RNMF uses a robust cost
function and iterative updating procedure, so is not sensitive to outliers.
This method has been applied to simulated data using USGS spectral library,
AVIRIS and ROSIS datasets. Unmixing results are compared to traditional NMF
method based on SAD and AAD measures. Results demonstrate that this method can
be used efficiently for hyperspectral unmixing purposes.
","Roozbeh Rajabi, Hassan Ghassemian",Hassan Ghassemian,2012-12-04T21:59:35Z
"An approximate message passing approach for compressive hyperspectral
  imaging using a simultaneous low-rank and joint-sparsity prior","  This paper considers a compressive sensing (CS) approach for hyperspectral
data acquisition, which results in a practical compression ratio substantially
higher than the state-of-the-art. Applying simultaneous low-rank and
joint-sparse (L&S) model to the hyperspectral data, we propose a novel
algorithm to joint reconstruction of hyperspectral data based on loopy belief
propagation that enables the exploitation of both structured sparsity and
amplitude correlations in the data. Experimental results with real
hyperspectral datasets demonstrate that the proposed algorithm outperforms the
state-of-the-art CS-based solutions with substantial reductions in
reconstruction error.
","Yangqing Li, Saurabh Prasad, Wei Chen, Changchuan Yin, Zhu Han",Zhu Han,2016-07-12T14:49:05Z
"Map-guided Hyperspectral Image Superpixel Segmentation Using Proportion
  Maps","  A map-guided superpixel segmentation method for hyperspectral imagery is
developed and introduced. The proposed approach develops a
hyperspectral-appropriate version of the SLIC superpixel segmentation
algorithm, leverages map information to guide segmentation, and incorporates
the semi-supervised Partial Membership Latent Dirichlet Allocation (sPM-LDA) to
obtain a final superpixel segmentation. The proposed method is applied to two
real hyperspectral data sets and quantitative cluster validity metrics indicate
that the proposed approach outperforms existing hyperspectral superpixel
segmentation methods.
","Hao Sun, Alina Zare",Alina Zare,2017-01-06T19:52:10Z
"TDiffDe: A Truncated Diffusion Model for Remote Sensing Hyperspectral
  Image Denoising","  Hyperspectral images play a crucial role in precision agriculture,
environmental monitoring or ecological analysis. However, due to sensor
equipment and the imaging environment, the observed hyperspectral images are
often inevitably corrupted by various noise. In this study, we proposed a
truncated diffusion model, called TDiffDe, to recover the useful information in
hyperspectral images gradually. Rather than starting from a pure noise, the
input data contains image information in hyperspectral image denoising. Thus,
we cut the trained diffusion model from small steps to avoid the destroy of
valid information.
","Jiang He, Yajie Li, Jie L, Qiangqiang Yuan",Qiangqiang Yuan,2023-11-22T08:49:08Z
"Learning Spatial-Spectral Prior for Super-Resolution of Hyperspectral
  Imagery","  Recently, single gray/RGB image super-resolution reconstruction task has been
extensively studied and made significant progress by leveraging the advanced
machine learning techniques based on deep convolutional neural networks
(DCNNs). However, there has been limited technical development focusing on
single hyperspectral image super-resolution due to the high-dimensional and
complex spectral patterns in hyperspectral image. In this paper, we make a step
forward by investigating how to adapt state-of-the-art residual learning based
single gray/RGB image super-resolution approaches for computationally efficient
single hyperspectral image super-resolution, referred as SSPSR. Specifically,
we introduce a spatial-spectral prior network (SSPN) to fully exploit the
spatial information and the correlation between the spectra of the
hyperspectral data. Considering that the hyperspectral training samples are
scarce and the spectral dimension of hyperspectral image data is very high, it
is nontrivial to train a stable and effective deep network. Therefore, a group
convolution (with shared network parameters) and progressive upsampling
framework is proposed. This will not only alleviate the difficulty in feature
extraction due to high-dimension of the hyperspectral data, but also make the
training process more stable. To exploit the spatial and spectral prior, we
design a spatial-spectral block (SSB), which consists of a spatial residual
module and a spectral attention residual module. Experimental results on some
hyperspectral images demonstrate that the proposed SSPSR method enhances the
details of the recovered high-resolution hyperspectral images, and outperforms
state-of-the-arts. The source code is available at
\url{https://github.com/junjun-jiang/SSPSR
","Junjun Jiang, He Sun, Xianming Liu, Jiayi Ma",Jiayi Ma,2020-05-18T14:25:50Z
"Hyper-Skin: A Hyperspectral Dataset for Reconstructing Facial
  Skin-Spectra from RGB Images","  We introduce Hyper-Skin, a hyperspectral dataset covering wide range of
wavelengths from visible (VIS) spectrum (400nm - 700nm) to near-infrared (NIR)
spectrum (700nm - 1000nm), uniquely designed to facilitate research on facial
skin-spectra reconstruction. By reconstructing skin spectra from RGB images,
our dataset enables the study of hyperspectral skin analysis, such as melanin
and hemoglobin concentrations, directly on the consumer device. Overcoming
limitations of existing datasets, Hyper-Skin consists of diverse facial skin
data collected with a pushbroom hyperspectral camera. With 330 hyperspectral
cubes from 51 subjects, the dataset covers the facial skin from different
angles and facial poses. Each hyperspectral cube has dimensions of
1024$\times$1024$\times$448, resulting in millions of spectra vectors per
image. The dataset, carefully curated in adherence to ethical guidelines,
includes paired hyperspectral images and synthetic RGB images generated using
real camera responses. We demonstrate the efficacy of our dataset by showcasing
skin spectra reconstruction using state-of-the-art models on 31 bands of
hyperspectral data resampled in the VIS and NIR spectrum. This Hyper-Skin
dataset would be a valuable resource to NeurIPS community, encouraging the
development of novel algorithms for skin spectral reconstruction while
fostering interdisciplinary collaboration in hyperspectral skin analysis
related to cosmetology and skin's well-being. Instructions to request the data
and the related benchmarking codes are publicly available at:
\url{https://github.com/hyperspectral-skin/Hyper-Skin-2023}.
","Pai Chet Ng, Zhixiang Chi, Yannick Verdie, Juwei Lu, Konstantinos N. Plataniotis",Konstantinos N. Plataniotis,2023-10-27T06:10:35Z
Hyperspectral Neural Radiance Fields,"  Hyperspectral Imagery (HSI) has been used in many applications to
non-destructively determine the material and/or chemical compositions of
samples. There is growing interest in creating 3D hyperspectral
reconstructions, which could provide both spatial and spectral information
while also mitigating common HSI challenges such as non-Lambertian surfaces and
translucent objects. However, traditional 3D reconstruction with HSI is
difficult due to technological limitations of hyperspectral cameras. In recent
years, Neural Radiance Fields (NeRFs) have seen widespread success in creating
high quality volumetric 3D representations of scenes captured by a variety of
camera models. Leveraging recent advances in NeRFs, we propose computing a
hyperspectral 3D reconstruction in which every point in space and view
direction is characterized by wavelength-dependent radiance and transmittance
spectra. To evaluate our approach, a dataset containing nearly 2000
hyperspectral images across 8 scenes and 2 cameras was collected. We perform
comparisons against traditional RGB NeRF baselines and apply ablation testing
with alternative spectra representations. Finally, we demonstrate the potential
of hyperspectral NeRFs for hyperspectral super-resolution and imaging sensor
simulation. We show that our hyperspectral NeRF approach enables creating fast,
accurate volumetric 3D hyperspectral scenes and enables several new
applications and areas for future study.
","Gerry Chen, Sunil Kumar Narayanan, Thomas Gautier Ottou, Benjamin Missaoui, Harsh Muriki, Cédric Pradalier, Yongsheng Chen",Yongsheng Chen,2024-03-21T21:18:08Z
Fast and robust pushbroom hyperspectral imaging via DMD-based scanning,"  We describe a new pushbroom hyperspectral imaging device that has no macro
moving part. The main components of the proposed hyperspectral imager are a
digital micromirror device (DMD), a CMOS image sensor with no filter as the
spectral sensor, a CMOS color (RGB) image sensor as the auxiliary image sensor,
and a diffraction grating. Using the image sensor pair, the device can
simultaneously capture hyperspectral data as well as RGB images of the scene.
The RGB images captured by the auxiliary image sensor can facilitate geometric
co-registration of the hyperspectral image slices captured by the spectral
sensor. In addition, the information discernible from the RGB images can lead
to capturing the spectral data of only the regions of interest within the
scene. The proposed hyperspectral imaging architecture is cost-effective, fast,
and robust. It also enables a trade-off between resolution and speed. We have
built an initial prototype based on the proposed design. The prototype can
capture a hyperspectral image datacube with a spatial resolution of 192x192
pixels and a spectral resolution of 500 bands in less than thirty seconds.
","Reza Arablouei, Ethan Goan, Stephen Gensemer, Branislav Kusy",Branislav Kusy,2016-08-01T09:18:38Z
Hyperspectral Data Analysis in R: the hsdar Package,"  Hyperspectral remote sensing is a promising tool for a variety of
applications including ecology, geology, analytical chemistry and medical
research. This article presents the new \hsdar package for R statistical
software, which performs a variety of analysis steps taken during a typical
hyperspectral remote sensing approach. The package introduces a new class for
efficiently storing large hyperspectral datasets such as hyperspectral cubes
within R. The package includes several important hyperspectral analysis tools
such as continuum removal, normalized ratio indices and integrates two widely
used radiation transfer models. In addition, the package provides methods to
directly use the functionality of the caret package for machine learning tasks.
Two case studies demonstrate the package's range of functionality: First, plant
leaf chlorophyll content is estimated and second, cancer in the human larynx is
detected from hyperspectral data.
","Lukas W. Lehnert, Hanna Meyer, Wolfgang A. Obermeier, Brenner Silva, Bianca Regeling, Jörg Bendix",Jörg Bendix,2018-05-14T09:57:25Z
"Aerial Vehicle Tracking by Adaptive Fusion of Hyperspectral Likelihood
  Maps","  Hyperspectral cameras can provide unique spectral signatures for consistently
distinguishing materials that can be used to solve surveillance tasks. In this
paper, we propose a novel real-time hyperspectral likelihood maps-aided
tracking method (HLT) inspired by an adaptive hyperspectral sensor. A moving
object tracking system generally consists of registration, object detection,
and tracking modules. We focus on the target detection part and remove the
necessity to build any offline classifiers and tune a large amount of
hyperparameters, instead learning a generative target model in an online manner
for hyperspectral channels ranging from visible to infrared wavelengths. The
key idea is that, our adaptive fusion method can combine likelihood maps from
multiple bands of hyperspectral imagery into one single more distinctive
representation increasing the margin between mean value of foreground and
background pixels in the fused map. Experimental results show that the HLT not
only outperforms all established fusion methods but is on par with the current
state-of-the-art hyperspectral target tracking frameworks.
","Burak Uzkent, Aneesh Rangnekar, M. J. Hoffman",M. J. Hoffman,2017-07-12T05:55:54Z
"WHU-Hi: UAV-borne hyperspectral with high spatial resolution (H2)
  benchmark datasets for hyperspectral image classification","  Classification is an important aspect of hyperspectral images processing and
application. At present, the researchers mostly use the classic airborne
hyperspectral imagery as the benchmark dataset. However, existing datasets
suffer from three bottlenecks: (1) low spatial resolution; (2) low labeled
pixels proportion; (3) low degree of subclasses distinction. In this paper, a
new benchmark dataset named the Wuhan UAV-borne hyperspectral image (WHU-Hi)
dataset was built for hyperspectral image classification. The WHU-Hi dataset
with a high spectral resolution (nm level) and a very high spatial resolution
(cm level), which we refer to here as H2 imager. Besides, the WHU-Hi dataset
has a higher pixel labeling ratio and finer subclasses. Some start-of-art
hyperspectral image classification methods benchmarked the WHU-Hi dataset, and
the experimental results show that WHU-Hi is a challenging dataset. We hope
WHU-Hi dataset can become a strong benchmark to accelerate future research.
","Xin Hu, Yanfei Zhong, Chang Luo, Xinyu Wang",Xinyu Wang,2020-12-27T11:28:37Z
Hyperspectral 3D Mapping of Underwater Environments,"  Hyperspectral imaging has been increasingly used for underwater survey
applications over the past years. As many hyperspectral cameras work as
push-broom scanners, their use is usually limited to the creation of
photo-mosaics based on a flat surface approximation and by interpolating the
camera pose from dead-reckoning navigation. Yet, because of drift in the
navigation and the mostly wrong flat surface assumption, the quality of the
obtained photo-mosaics is often too low to support adequate analysis.In this
paper we present an initial method for creating hyperspectral 3D
reconstructions of underwater environments. By fusing the data gathered by a
classical RGB camera, an inertial navigation system and a hyperspectral
push-broom camera, we show that the proposed method creates highly accurate 3D
reconstructions with hyperspectral textures. We propose to combine techniques
from simultaneous localization and mapping, structure-from-motion and 3D
reconstruction and advantageously use them to create 3D models with
hyperspectral texture, allowing us to overcome the flat surface assumption and
the classical limitation of dead-reckoning navigation.
","Maxime Ferrera, Aurélien Arnaubec, Klemen Istenic, Nuno Gracias, Touria Bajjouk",Touria Bajjouk,2021-10-13T08:37:22Z
"HyperDID: Hyperspectral Intrinsic Image Decomposition with Deep Feature
  Embedding","  The dissection of hyperspectral images into intrinsic components through
hyperspectral intrinsic image decomposition (HIID) enhances the
interpretability of hyperspectral data, providing a foundation for more
accurate classification outcomes. However, the classification performance of
HIID is constrained by the model's representational ability. To address this
limitation, this study rethinks hyperspectral intrinsic image decomposition for
classification tasks by introducing deep feature embedding. The proposed
framework, HyperDID, incorporates the Environmental Feature Module (EFM) and
Categorical Feature Module (CFM) to extract intrinsic features. Additionally, a
Feature Discrimination Module (FDM) is introduced to separate
environment-related and category-related features. Experimental results across
three commonly used datasets validate the effectiveness of HyperDID in
improving hyperspectral image classification performance. This novel approach
holds promise for advancing the capabilities of hyperspectral image analysis by
leveraging deep feature embedding principles. The implementation of the
proposed method could be accessed soon at https://github.com/shendu-sw/HyperDID
for the sake of reproducibility.
","Zhiqiang Gong, Xian Zhou, Wen Yao, Xiaohu Zheng, Ping Zhong",Ping Zhong,2023-11-25T02:05:10Z
"Deep learning-based hyperspectral image reconstruction for quality
  assessment of agro-product","  Hyperspectral imaging (HSI) has recently emerged as a promising tool for many
agricultural applications; however, the technology cannot be directly used in a
real-time system due to the extensive time needed to process large volumes of
data. Consequently, the development of a simple, compact, and cost-effective
imaging system is not possible with the current HSI systems. Therefore, the
overall goal of this study was to reconstruct hyperspectral images from RGB
images through deep learning for agricultural applications. Specifically, this
study used Hyperspectral Convolutional Neural Network - Dense (HSCNN-D) to
reconstruct hyperspectral images from RGB images for predicting soluble solid
content (SSC) in sweet potatoes. The algorithm accurately reconstructed the
hyperspectral images from RGB images, with the resulting spectra closely
matching the ground-truth. The partial least squares regression (PLSR) model
based on reconstructed spectra outperformed the model using the full spectral
range, demonstrating its potential for SSC prediction in sweet potatoes. These
findings highlight the potential of deep learning-based hyperspectral image
reconstruction as a low-cost, efficient tool for various agricultural uses.
","Md. Toukir Ahmed, Ocean Monjur, Mohammed Kamruzzaman",Mohammed Kamruzzaman,2024-05-20T18:15:20Z
"Online Unmixing of Multitemporal Hyperspectral Images accounting for
  Spectral Variability","  Hyperspectral unmixing is aimed at identifying the reference spectral
signatures composing an hyperspectral image and their relative abundance
fractions in each pixel. In practice, the identified signatures may vary
spectrally from an image to another due to varying acquisition conditions, thus
inducing possibly significant estimation errors. Against this background,
hyperspectral unmixing of several images acquired over the same area is of
considerable interest. Indeed, such an analysis enables the endmembers of the
scene to be tracked and the corresponding endmember variability to be
characterized. Sequential endmember estimation from a set of hyperspectral
images is expected to provide improved performance when compared to methods
analyzing the images independently. However, the significant size of
hyperspectral data precludes the use of batch procedures to jointly estimate
the mixture parameters of a sequence of hyperspectral images. Provided that
each elementary component is present in at least one image of the sequence, we
propose to perform an online hyperspectral unmixing accounting for temporal
endmember variability. The online hyperspectral unmixing is formulated as a
two-stage stochastic program, which can be solved using a stochastic
approximation. The performance of the proposed method is evaluated on synthetic
and real data. A comparison with independent unmixing algorithms finally
illustrates the interest of the proposed strategy.
","Pierre-Antoine Thouvenin, Nicolas Dobigeon, Jean-Yves Tourneret",Jean-Yves Tourneret,2015-10-20T13:47:24Z
Validating Hyperspectral Image Segmentation,"  Hyperspectral satellite imaging attracts enormous research attention in the
remote sensing community, hence automated approaches for precise segmentation
of such imagery are being rapidly developed. In this letter, we share our
observations on the strategy for validating hyperspectral image segmentation
algorithms currently followed in the literature, and show that it can lead to
over-optimistic experimental insights. We introduce a new routine for
generating segmentation benchmarks, and use it to elaborate ready-to-use
hyperspectral training-test data partitions. They can be utilized for fair
validation of new and existing algorithms without any training-test data
leakage.
","Jakub Nalepa, Michal Myller, Michal Kawulok",Michal Kawulok,2018-11-08T22:59:40Z
"Hyperspectral Unmixing with Endmember Variability using Semi-supervised
  Partial Membership Latent Dirichlet Allocation","  A semi-supervised Partial Membership Latent Dirichlet Allocation approach is
developed for hyperspectral unmixing and endmember estimation while accounting
for spectral variability and spatial information. Partial Membership Latent
Dirichlet Allocation is an effective approach for spectral unmixing while
representing spectral variability and leveraging spatial information. In this
work, we extend Partial Membership Latent Dirichlet Allocation to incorporate
any available (imprecise) label information to help guide unmixing.
Experimental results on two hyperspectral datasets show that the proposed
semi-supervised PM-LDA can yield improved hyperspectral unmixing and endmember
estimation results.
","Sheng Zou, Hao Sun, Alina Zare",Alina Zare,2017-03-17T18:13:59Z
"Fast Hyperspectral Image Denoising and Inpainting Based on Low-Rank and
  Sparse Representations","  This paper introduces two very fast and competitive hyperspectral image (HSI)
restoration algorithms: fast hyperspectral denoising (FastHyDe), a denoising
algorithm able to cope with Gaussian and Poissonian noise, and fast
hyperspectral inpainting (FastHyIn), an inpainting algorithm to restore HSIs
where some observations from known pixels in some known bands are missing.
FastHyDe and FastHyIn fully exploit extremely compact and sparse HSI
representations linked with their low-rank and self-similarity characteristics.
In a series of experiments with simulated and real data, the newly introduced
FastHyDe and FastHyIn compete with the state-of-the-art methods, with much
lower computational complexity.
","Lina Zhuang, Jose M. Bioucas-Dias",Jose M. Bioucas-Dias,2021-03-11T18:12:29Z
"Cross-View-Prediction: Exploring Contrastive Feature for Hyperspectral
  Image Classification","  This paper presents a self-supervised feature learning method for
hyperspectral image classification. Our method tries to construct two different
views of the raw hyperspectral image through a cross-representation learning
method. And then to learn semantically consistent representation over the
created views by contrastive learning method. Specifically, four
cross-channel-prediction based augmentation methods are naturally designed to
utilize the high dimension characteristic of hyperspectral data for the view
construction. And the better representative features are learned by maximizing
mutual information and minimizing conditional entropy across different views
from our contrastive network. This 'Cross-View-Predicton' style is
straightforward and gets the state-of-the-art performance of unsupervised
classification with a simple SVM classifier.
","Haotian Wu, Anyu Zhang, Zeyu Cao",Zeyu Cao,2022-03-14T11:07:33Z
